,Unnamed: 0,Video ID,Title,Duration,Upload Date,authorDisplayName,date,likeCount,comment,comment_en,roberta_negative,roberta_neutral,roberta_positive,roberta_label,roberta_polarity,vader_negative,vader_neutral,vader_positive,compound,vader_label,vader_polarity
10,10,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@ano7Editz,25.01.2025,0.0,first,first,0.109961085,0.50861007,0.38142884,neutral,0.26499003,0.0,1.0,0.0,0.0,neutral,0.0
11,11,9X9_QSuIZL4,Stage 4: Despair - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@5fpirzada,28.01.2025,0.0,stay humble eh,stay humble eh,0.049827423,0.5012539,0.44891873,neutral,0.3791712,0.0,1.0,0.0,0.0,neutral,0.0
12,12,9X9_QSuIZL4,Stage 4: Despair - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@douwefooty,27.01.2025,0.0,Hey nike can you pls send some merch been a nike guy since day one,Hey nike can you pls send some merch been a nike guy since day one,0.019284846,0.3042377,0.6764775,positive,0.5764921,0.0,0.915,0.085,0.0772,neutral,0.08479588154870199
13,13,9X9_QSuIZL4,Stage 4: Despair - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@keiskek,26.01.2025,5.0,"Stay humble eh, Stay humble eh?","Stay humble eh, Stay humble eh?",0.022778833,0.6514266,0.32579452,neutral,0.29406995,0.0,1.0,0.0,0.0,neutral,0.0
14,14,9X9_QSuIZL4,Stage 4: Despair - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@BINGOxFTBL,26.01.2025,5.0,STAY HUMBLE,STAY HUMBLE,0.073572345,0.5122641,0.41416362,neutral,0.32800516,0.0,1.0,0.0,0.0,neutral,0.0
15,15,9X9_QSuIZL4,Stage 4: Despair - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@Marcus-o6c,25.01.2025,4.0,Stay humble eh,Stay humble eh,0.060776293,0.53677493,0.40244883,neutral,0.32896975,0.0,1.0,0.0,0.0,neutral,0.0
16,16,9X9_QSuIZL4,Stage 4: Despair - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@Essa070,25.01.2025,0.0,Probably a better striker next time then you might get some likes,Probably a better striker next time then you might get some likes,0.058312353,0.3207702,0.62091744,positive,0.5099077,0.0,0.637,0.363,0.6908,neutral,0.34785377420226055
17,17,9X9_QSuIZL4,Stage 4: Despair - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@OmletteSiuu,25.01.2025,0.0,Lollll,Lollll,0.13440494,0.46456102,0.401034,neutral,0.26048538,0.0,1.0,0.0,0.0,neutral,0.0
18,18,9X9_QSuIZL4,Stage 4: Despair - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@Lazyanwashere,25.01.2025,0.0,lol,lol,0.1243132,0.42207497,0.45361188,positive,0.31789047,0.0,0.0,1.0,0.4215,positive,0.7615941559557649
19,19,9X9_QSuIZL4,Stage 4: Despair - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@NicRoyde,25.01.2025,3.0,22 likes Nike is washhhed,22 likes Nike is washhhed,0.11870583,0.6018722,0.279422,neutral,0.15934655,0.0,0.588,0.412,0.4215,neutral,0.39016953754161027
20,20,9X9_QSuIZL4,Stage 4: Despair - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@APNFranky,25.01.2025,2.0,My EA FC rating 💀,My EA FC rating 💀,0.66139823,0.30996856,0.028633172,negative,-0.5599532,0.0,1.0,0.0,0.0,neutral,0.0
21,21,9X9_QSuIZL4,Stage 4: Despair - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@philoutabet4,25.01.2025,0.0,🍼🍼🍼😂😂😂,,0.093611024,0.6808652,0.22552378,neutral,0.13115291,0.0,1.0,0.0,0.0,neutral,0.0
22,22,fi3vSHdoYX8,Stage 3: Bargaining - Phantom GX Haaland #NikeFootball,15.0,25.01.2025,@AishaRehman-fq1os,12.02.2025,0.0,Stay humble eh 😂,Stay humble eh 😂,0.050164193,0.5074678,0.4423681,neutral,0.37325862,0.162,0.513,0.325,0.4404,neutral,0.1615715962519813
23,23,fi3vSHdoYX8,Stage 3: Bargaining - Phantom GX Haaland #NikeFootball,15.0,25.01.2025,@FootballMedia-c8y,27.01.2025,0.0,Money ta,money,0.13281062,0.56069964,0.30648974,neutral,0.17195362,0.0,1.0,0.0,0.0,neutral,0.0
24,24,fi3vSHdoYX8,Stage 3: Bargaining - Phantom GX Haaland #NikeFootball,15.0,25.01.2025,@Ascendify1,26.01.2025,2.0,Salah is better than Mr humbland,Salah is better than Mr humbland,0.066637024,0.3850397,0.5483233,positive,0.44759303,0.0,0.633,0.367,0.4404,neutral,0.351364861104255
25,25,fi3vSHdoYX8,Stage 3: Bargaining - Phantom GX Haaland #NikeFootball,15.0,25.01.2025,@Mewington_Gregory,26.01.2025,2.0,MO NI TA  MONITA YEAHHH REF?!,Mo ni ta monita yeahhh refrigerator?!,0.021896897,0.8787384,0.09936469,neutral,0.07731319,0.0,1.0,0.0,0.0,neutral,0.0
26,26,fi3vSHdoYX8,Stage 3: Bargaining - Phantom GX Haaland #NikeFootball,15.0,25.01.2025,@JosueMoncada-m2b,26.01.2025,2.0,REF?!😂,REF?!😂,0.23407888,0.5574773,0.20844384,neutral,-0.025629435,0.19,0.4,0.41,0.4926,positive,0.2165180614930288
27,27,fi3vSHdoYX8,Stage 3: Bargaining - Phantom GX Haaland #NikeFootball,15.0,25.01.2025,@HelloMate79,26.01.2025,0.0,Lol,Lol,0.14796539,0.45441952,0.39761513,neutral,0.24458939,0.0,0.0,1.0,0.4215,positive,0.7615941559557649
28,28,fi3vSHdoYX8,Stage 3: Bargaining - Phantom GX Haaland #NikeFootball,15.0,25.01.2025,@thekrabningotn892,26.01.2025,0.0,Lol,Lol,0.14796539,0.45441952,0.39761513,neutral,0.24458939,0.0,0.0,1.0,0.4215,positive,0.7615941559557649
29,29,fi3vSHdoYX8,Stage 3: Bargaining - Phantom GX Haaland #NikeFootball,15.0,25.01.2025,@nicolasgonzalez1233,25.01.2025,1.0,money ta,mood,0.16806287,0.602283,0.22965418,neutral,0.061513547,0.0,1.0,0.0,0.0,neutral,0.0
30,30,fi3vSHdoYX8,Stage 3: Bargaining - Phantom GX Haaland #NikeFootball,15.0,25.01.2025,@timmyturner1416,25.01.2025,0.0,Lol,Lol,0.14796539,0.45441952,0.39761513,neutral,0.24458939,0.0,0.0,1.0,0.4215,positive,0.7615941559557649
31,31,fi3vSHdoYX8,Stage 3: Bargaining - Phantom GX Haaland #NikeFootball,15.0,25.01.2025,@Essa070,25.01.2025,0.0,Monita toy toy toy,Monita Toy Toy Toy,0.05484001,0.7203983,0.22476171,neutral,0.16830496,0.0,1.0,0.0,0.0,neutral,0.0
32,32,fi3vSHdoYX8,Stage 3: Bargaining - Phantom GX Haaland #NikeFootball,15.0,25.01.2025,@philoutabet4,25.01.2025,1.0,MO NI TAAAA 😂😂😂,THIS TOAA 😂😂😂,0.23221567,0.49983507,0.26794922,neutral,0.035718348,0.203,0.391,0.406,0.8271,positive,0.2002567343694467
33,33,np-eyRQSNdI,Stage 2: Anger - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@AishaRehman-fq1os,12.02.2025,0.0,Stay humble eh 😂,Stay humble eh 😂,0.050164193,0.5074678,0.4423681,neutral,0.37325862,0.162,0.513,0.325,0.4404,neutral,0.1615715962519813
34,34,np-eyRQSNdI,Stage 2: Anger - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@kulwantkaursaini7513,29.01.2025,0.0,Stay humble eh😊,Stay humble eh😊,0.018473003,0.114058964,0.86746806,positive,0.69054407,0.0,0.5,0.5,0.7184,neutral,0.46211715726000974
35,35,np-eyRQSNdI,Stage 2: Anger - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@ricardoomaybe,28.01.2025,0.0,dawg its been several days and im top 5 first commenter,dawg its been several days and im top 5 first commenter,0.04400886,0.2876968,0.6682943,positive,0.55410475,0.0,0.847,0.153,0.2023,neutral,0.15181721489334746
36,36,np-eyRQSNdI,Stage 2: Anger - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@finleyconner,27.01.2025,0.0,Bloody egg sack,Bloody egg sack,0.8423361,0.12159167,0.036072228,negative,-0.66752404,0.592,0.408,0.0,-0.4404,negative,-0.5313325040915584
37,37,np-eyRQSNdI,Stage 2: Anger - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@Mewington_Gregory,25.01.2025,2.0,Man poor guy is going to be told be humble and start cooking,Man poor guy is going to be told be humble and start cooking,0.700698,0.27726918,0.022032771,negative,-0.590651,0.205,0.795,0.0,-0.4767,neutral,-0.20217575769673954
38,38,np-eyRQSNdI,Stage 2: Anger - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@JoseAlvarez-us1iy,25.01.2025,7.0,0 comments 8 views Nike fell off,0 comments 8 views Nike fell off,0.66282874,0.31926453,0.017906755,negative,-0.5682416,0.0,1.0,0.0,0.0,neutral,0.0
39,39,1AgmdEJZkEU,Stage 1: Denial - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@YousfYasir-fj3ek,26.01.2025,0.0,Rip goalkeeper you will be missed😂,Rip goalkeeper you will be missed😂,0.28790063,0.42693132,0.285168,neutral,-0.0027326278,0.258,0.503,0.239,0.1779,neutral,-0.018997713996764982
40,40,1AgmdEJZkEU,Stage 1: Denial - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@MominaBegum-cx7lp,25.01.2025,2.0,There&#39;s a star maaaaaaaaaaan waiting in the sky,There&#39;s a star maaaaaaaaaaan waiting in the sky,0.008270394,0.32006145,0.67166823,positive,0.5806202,0.0,1.0,0.0,0.0,neutral,0.0
41,41,1AgmdEJZkEU,Stage 1: Denial - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@ArchieAshford,25.01.2025,0.0,Never misses?,Never misses?,0.087764814,0.76631695,0.14591828,neutral,0.058087997,0.0,0.375,0.625,0.1695,positive,0.5545997223493823
42,42,1AgmdEJZkEU,Stage 1: Denial - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@FouadToukan,25.01.2025,1.0,A guy that will destroy you 😂😂,A guy that will destroy you 😂😂,0.8347236,0.1422906,0.022985863,negative,-0.6705478,0.282,0.425,0.293,0.3182,neutral,0.010999556354805758
43,43,1AgmdEJZkEU,Stage 1: Denial - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@Guywhoasked0668,25.01.2025,0.0,well he is indeed right😂😂,well he is indeed right😂😂,0.026221039,0.25797635,0.7158026,positive,0.5977131,0.162,0.426,0.413,0.7845,neutral,0.2458584467685245
44,44,1AgmdEJZkEU,Stage 1: Denial - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@Arsenal_Gunners1,25.01.2025,2.0,“Stay humble eh”,“Stay humble eh”,0.03200495,0.56620085,0.40179414,neutral,0.3538073,0.0,1.0,0.0,0.0,neutral,0.0
45,45,1AgmdEJZkEU,Stage 1: Denial - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@ano7Editz,25.01.2025,0.0,second,second,0.10445867,0.5871797,0.30836156,neutral,0.20112327,0.0,1.0,0.0,0.0,neutral,0.0
46,46,1AgmdEJZkEU,Stage 1: Denial - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@philoutabet4,25.01.2025,0.0,He’s Just a Guy 😂,He’s Just a Guy 😂,0.10346531,0.6711111,0.22542366,neutral,0.12135726,0.15,0.551,0.299,0.4404,neutral,0.1479070550961819
47,47,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@Yefriart88,22.02.2025,0.0,what pass ber nike but what the lost of protagonism in the most recient ball in state @conmebol,what pass ber nike but what the lost of protagonism in the most recient ball in state @conmebol,0.42604056,0.53141516,0.042544298,neutral,-0.3657399,0.148,0.852,0.0,-0.4497,neutral,-0.1469287872264987
48,48,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@MFFM300,21.02.2025,0.0,I acc like this ad but Haaland ofc fell off so…,I acc like this ad but Haaland ofc fell off so…,0.45055234,0.43082282,0.11862482,negative,-0.3202517,0.0,0.851,0.149,0.1901,neutral,0.1479070550961819
49,49,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@FatherKisame,06.02.2025,0.0,Yes Chay 🙌🏿🙌🏿🙌🏿,Yes Chay 🙌🏿🙌🏿🙌🏿,0.0032035373,0.023870787,0.97292566,positive,0.7485822,0.0,0.856,0.144,0.4019,neutral,0.14301285893511184
50,50,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@LDMJ7,05.02.2025,1.0,Stay Humble 🤍❤️👋,Stay Humble 🤍❤️👋,0.012315917,0.10447564,0.88320845,positive,0.7018273,0.0,0.652,0.348,0.4939,neutral,0.33460064965418324
51,51,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@zachcouch1987,03.02.2025,0.0,Stay humble eh?,Stay humble eh?,0.09435673,0.7473826,0.15826069,neutral,0.06381711,0.0,1.0,0.0,0.0,neutral,0.0
52,52,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@gtron4,31.01.2025,6.0,Stage 6: Humility,Stage 6: Humility,0.015907839,0.6766141,0.30747807,neutral,0.28357944,0.0,1.0,0.0,0.0,neutral,0.0
53,53,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@ANGELOFDARKification,27.01.2025,1.0,Backed it up with a masterclass vs Chelsea,Backed it up with a masterclass vs Chelsea,0.009138484,0.3117968,0.6790647,positive,0.5849314,0.0,0.864,0.136,0.0258,neutral,0.13516767202007485
54,54,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@moroniafrifa614,27.01.2025,0.0,This is hilarious 😂😂,This is hilarious 😂😂,0.04431339,0.13770962,0.817977,positive,0.64905477,0.172,0.362,0.466,0.8176,positive,0.28581224272245803
55,55,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@raymmanchestercity9320,27.01.2025,3.0,Haaland is back!<br><br><br><br><br><br><br><br><br><br>for 1 game maybe,Haaland is back!<br><br><br><br><br><br><br><br><br><br>for 1 game maybe,0.013018966,0.5783077,0.40867335,neutral,0.37622455,0.0,1.0,0.0,0.0,neutral,0.0
56,56,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@azukuperez8004,26.01.2025,1.0,This was funny ash,This was funny ash,0.019764889,0.14969833,0.83053684,positive,0.6700159,0.0,0.508,0.492,0.4404,neutral,0.45580236471946156
57,57,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@SamuelNyarkoOfori-qk9iy7fz8o,26.01.2025,2.0,Better than Messi,Better than Messi,0.031756103,0.26332185,0.7049221,positive,0.5870586,0.0,0.408,0.592,0.4404,positive,0.5313325040915584
58,58,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@samantakbiswas3395,26.01.2025,16.0,Who remembered Coutinho suddenly 😅,Who remembered Coutinho suddenly 😅,0.046506163,0.7684448,0.18504915,neutral,0.13766333,0.0,0.737,0.263,0.3612,neutral,0.25709938653852127
59,59,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@JeyitM10,26.01.2025,6.0,Haaland ❤❤❤,Haaland ❤❤❤,0.0027231204,0.030755945,0.9665209,positive,0.7459661,0.0,0.241,0.759,0.9274,positive,0.6404875632025072
60,60,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@Nosoyuncampeon,26.01.2025,1.0,Inevitable,Inevitable,0.47382793,0.3866262,0.13954586,negative,-0.32236314,0.0,1.0,0.0,0.0,neutral,0.0
61,61,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@Slayjegard,26.01.2025,0.0,Honestly Nike - do better,Honestly Nike - do better,0.73706096,0.22396107,0.038977973,negative,-0.60314953,0.0,0.337,0.663,0.7096,positive,0.580356436277636
62,62,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@kimmynguyen6894,26.01.2025,0.0,Haha lol. Love this 🤣🤣,Haha lol. Love this 🤣🤣,0.012673212,0.0253359,0.96199095,positive,0.739474,0.0,0.354,0.646,0.9468,positive,0.5689710350887309
63,63,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@dmizzle73,25.01.2025,14.0,"Prospect, prodigy, phenom, champion, humbled!","Prospect, prodigy, phenom, champion, humbled!",0.0034781331,0.051948592,0.9445733,positive,0.73572505,0.0,0.319,0.681,0.75,positive,0.5921691156979321
64,64,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@mzwakhealpha,25.01.2025,3.0,These are fire!,These are fire!,0.008903341,0.024249801,0.9668469,positive,0.7433582,0.574,0.426,0.0,-0.4003,negative,-0.518290838403328
65,65,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@cosmicover4759,25.01.2025,1.0,665 views in 2 hours💀💀,665 views in 2 hours💀💀,0.53040045,0.4192664,0.050333202,negative,-0.44629747,0.0,1.0,0.0,0.0,neutral,0.0
66,66,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@Ibby_alam,25.01.2025,3.0,526 views in 2 hours is crazy 💀,526 views in 2 hours is crazy 💀,0.21411988,0.43109897,0.35478118,neutral,0.1397409,0.255,0.745,0.0,-0.34,neutral,-0.2496129489368586
67,67,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@Sr_Martinez.11,25.01.2025,8.0,Please bring back the Hypervenom Phantom 1 🙏🏽🥺,Please bring back the Hypervenom Phantom 1 🙏🏽🥺,0.021056687,0.16632234,0.81262094,positive,0.65929425,0.0,0.85,0.15,0.3182,neutral,0.14888503362331798
68,68,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@PETROVICGAMES,25.01.2025,62.0,STAY HUMBLE EH !!!,STAY HUMBLE EH !!!,0.038519274,0.33561575,0.6258649,positive,0.5279839,0.0,1.0,0.0,0.0,neutral,0.0
69,69,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@CHADBOI-d2s,25.01.2025,0.0,fourth,fourth,0.09527944,0.63063025,0.27409032,neutral,0.17692922,0.0,1.0,0.0,0.0,neutral,0.0
70,70,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@ano7Editz,25.01.2025,0.0,thurd,thurd,0.49164978,0.42968008,0.07867011,negative,-0.39099973,0.0,1.0,0.0,0.0,neutral,0.0
71,71,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@Zeus96_A,25.01.2025,0.0,Maybe you saw it coming.💫💥,Maybe you saw it coming.💫💥,0.026142687,0.5093982,0.46445915,neutral,0.412248,0.468,0.532,0.0,-0.5267,neutral,-0.43658193680041985
72,72,vtc1JpKrWHk,The Five Stages of Haaland | Phantom GX | NikeFootball,72.0,25.01.2025,@philoutabet4,25.01.2025,2.0,👀👀👀👀,,0.093611024,0.6808652,0.22552378,neutral,0.13115291,0.0,1.0,0.0,0.0,neutral,0.0
73,73,9kBz1Ge1TKs,"You can have the boots, @vinijr. But, Ronaldo says no to the nutmeg 👆",5.0,19.12.2024,@christophebenazzi1161,18.01.2025,0.0,Sale braziliano,Sale braziliano,0.067446224,0.7706186,0.1619352,neutral,0.09420877,0.0,1.0,0.0,0.0,neutral,0.0
74,74,9kBz1Ge1TKs,"You can have the boots, @vinijr. But, Ronaldo says no to the nutmeg 👆",5.0,19.12.2024,@egemenaykent6489,16.01.2025,0.0,Nazario wearing tech,Nazario wearing tech,0.02745956,0.8684564,0.10408405,neutral,0.07647488,0.0,1.0,0.0,0.0,neutral,0.0
75,75,9kBz1Ge1TKs,"You can have the boots, @vinijr. But, Ronaldo says no to the nutmeg 👆",5.0,19.12.2024,@annamungaray5780,05.01.2025,2.0,Nike i know this is a weird question but can i get the tiempo elite fg pearl for a lower price its because my dad cant afford it please sincerely Noah,Nike i know this is a weird question but can i get the tiempo elite fg pearl for a lower price its because my dad cant afford it please sincerely Noah,0.380214,0.4879684,0.13181765,neutral,-0.24341062,0.175,0.715,0.11,-0.1136,neutral,-0.0649086127746375
76,76,9kBz1Ge1TKs,"You can have the boots, @vinijr. But, Ronaldo says no to the nutmeg 👆",5.0,19.12.2024,@YoutubeShortsForKids-zh3jz,24.12.2024,0.0,Sponsor @spike17 and Oscar Olivas,Sponsor @spike17 and Oscar Olivas,0.0059999167,0.70986533,0.28413472,neutral,0.27117792,0.0,1.0,0.0,0.0,neutral,0.0
77,77,9kBz1Ge1TKs,"You can have the boots, @vinijr. But, Ronaldo says no to the nutmeg 👆",5.0,19.12.2024,@AllenI04,20.12.2024,17.0,My middle name &quot;Nazario&quot; came from this legend 🔥,My middle name &quot;Nazario&quot; came from this legend 🔥,0.0035512163,0.05332831,0.9431205,positive,0.7350243,0.231,0.769,0.0,-0.34,neutral,-0.2269770487141129
78,78,9kBz1Ge1TKs,"You can have the boots, @vinijr. But, Ronaldo says no to the nutmeg 👆",5.0,19.12.2024,@chabbenthegoat6182,19.12.2024,3.0,Vini cant live up to those boots,Vini cant live up to those boots,0.716688,0.25845203,0.024859931,negative,-0.5991551,0.0,1.0,0.0,0.0,neutral,0.0
79,79,9kBz1Ge1TKs,"You can have the boots, @vinijr. But, Ronaldo says no to the nutmeg 👆",5.0,19.12.2024,@yonimrd12,19.12.2024,1.0,What does it mean?,What does it mean?,0.054291658,0.90254056,0.043167852,neutral,-0.011123347,0.0,1.0,0.0,0.0,neutral,0.0
80,80,9kBz1Ge1TKs,"You can have the boots, @vinijr. But, Ronaldo says no to the nutmeg 👆",5.0,19.12.2024,@ozgurulasyesil9068,19.12.2024,5.0,Greatest at of all time,Greatest at of all time,0.0181912,0.09443434,0.88737446,positive,0.7009589,0.0,0.488,0.512,0.6369,positive,0.47150203662046075
81,81,9kBz1Ge1TKs,"You can have the boots, @vinijr. But, Ronaldo says no to the nutmeg 👆",5.0,19.12.2024,@Battmood,19.12.2024,0.0,🐐,,0.093611024,0.6808652,0.22552378,neutral,0.13115291,0.0,1.0,0.0,0.0,neutral,0.0
82,82,xeV03PRFQEA,@vinijr has the boots and is ready to fly.,7.0,18.12.2024,@Pedri-t1h,26.01.2025,0.0,What&#39;s did bro do 💀,What&#39;s did bro do 💀,0.88522136,0.105895825,0.008882784,negative,-0.7045803,0.0,1.0,0.0,0.0,neutral,0.0
83,83,xeV03PRFQEA,@vinijr has the boots and is ready to fly.,7.0,18.12.2024,@GELOUFREIRE_,26.12.2024,1.0,R9,R9,0.053238947,0.70791006,0.23885106,neutral,0.18350953,0.0,1.0,0.0,0.0,neutral,0.0
84,84,xeV03PRFQEA,@vinijr has the boots and is ready to fly.,7.0,18.12.2024,@Youtubes1Boxer,20.12.2024,1.0,❤,,0.093611024,0.6808652,0.22552378,neutral,0.13115291,0.0,1.0,0.0,0.0,neutral,0.0
85,85,xeV03PRFQEA,@vinijr has the boots and is ready to fly.,7.0,18.12.2024,@cristophercarrasco7418,18.12.2024,2.0,"No es ni la rodilla mala de Ronaldo jajaja vini no eres mejor que Neymar, y jamás serás mejor que Ronaldo el fenómeno","It is not even Ronaldo's bad knee hahaha vini you are not better than Neymar, and you will never be better than Ronaldo the phenomenon",0.7759175,0.19089171,0.033190805,negative,-0.63078976,0.149,0.651,0.2,0.3895,neutral,0.05095582895498612
